Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6695011490	18.0002937317	-0.6785892844
0.6695590267	18.1921997070	-0.6916182637
0.6696168815	18.3662147522	-0.7031995654
0.6696747592	18.5534305573	-0.7154166698
0.6697326368	18.7331523895	-0.7269127369
0.6697905141	18.9133529663	-0.7382156849
0.6698483690	19.0771274567	-0.7482977509
0.6699062463	19.2508144379	-0.7587953806
0.6699641242	19.4313354492	-0.7694976330
0.6700220016	19.5968952179	-0.7791296244
0.6700798564	19.7631816864	-0.7886306643
0.6701377341	19.9242153168	-0.7976691127
0.6701955886	20.0848083496	-0.8065262437
0.6702534663	20.2486476898	-0.8154042959
0.6703113436	20.4081954956	-0.8238988519
0.6703691985	20.5621070862	-0.8319546580
0.6704270877	20.7221450806	-0.8401890397
0.6704849535	20.8569030762	-0.8470124006
0.6705428314	21.0212230682	-0.8551981449
0.6706006857	21.1662235260	-0.8623008728
0.6706585636	21.3215065002	-0.8697838783
0.6707164181	21.4669265747	-0.8766778111
0.6707743074	21.6137409210	-0.8835279346
0.6708321619	21.7550201416	-0.8900172114
0.6708900392	21.9007740021	-0.8966081738
0.6709479172	22.0392875671	-0.9027755857
0.6710057718	22.1621379852	-0.9081682563
0.6710636610	22.3012371063	-0.9141876698
0.6711215155	22.4444942474	-0.9202925563
0.6711793931	22.5687828064	-0.9255123734
0.6712372708	22.7052936554	-0.9311647415
0.6712951250	22.8375530243	-0.9365615249
0.6713530027	22.9639644623	-0.9416474700
0.6714108806	23.0940666199	-0.9468093514
0.6714687352	23.2188053131	-0.9516902566
0.6715266356	23.3396492004	-0.9563559294
0.6715844905	23.4749050140	-0.9615057111
0.6716423681	23.5985393524	-0.9661470652
0.6717002455	23.7114410400	-0.9703313708
0.6717581003	23.8478584290	-0.9753189683
0.6718159664	23.9500122070	-0.9790056348
0.6718738440	24.0794315338	-0.9836177826
0.6719317005	24.1778297424	-0.9870811701
0.6719895782	24.2780742645	-0.9905715585
0.6720474558	24.3941440582	-0.9945657253
0.6721053106	24.4997673035	-0.9981567264
0.6721631880	24.6220970154	-1.0022644997
0.6722210656	24.7272815704	-1.0057530403
0.6722789205	24.8268718719	-1.0090193748
0.6723367886	24.9441013336	-1.0128191710
0.6723946664	25.0541915894	-1.0163435936
0.6724525442	25.1425189972	-1.0191409588
0.6725103988	25.2631511688	-1.0229182243
0.6725683014	25.3635444641	-1.0260241032
0.6726261579	25.4606361389	-1.0289957523
0.6726840127	25.5584125519	-1.0319567919
0.6727418901	25.6650638580	-1.0351507664
0.6727997680	25.7494106293	-1.0376507044
0.6728576223	25.8646259308	-1.0410286188
0.6729155003	25.9621696472	-1.0438554287
0.6729733776	26.0613479614	-1.0466990471
0.6730312556	26.1342258453	-1.0487691164
0.6730891100	26.2308826447	-1.0514893532
0.6731469877	26.3386535645	-1.0544887781
0.6732048423	26.4395313263	-1.0572646856
0.6732627314	26.4987640381	-1.0588804483
0.6733205861	26.6134357452	-1.0619790554
0.6733784753	26.7029933929	-1.0643723011
0.6734363295	26.7874889374	-1.0666089058
0.6734942071	26.8603363037	-1.0685207844
0.6735520851	26.9333763123	-1.0704225302
0.6736099624	27.0295276642	-1.0729030371
0.6736678170	27.1278171539	-1.0754120350
0.6737256949	27.1956939697	-1.0771291256
0.6737835494	27.2650165558	-1.0788697004
0.6738414268	27.3686408997	-1.0814471245
0.6738993047	27.4595031738	-1.0836833715
0.6739571593	27.5413837433	-1.0856796503
0.6740150601	27.6027202606	-1.0871634483
0.6740729146	27.6778984070	-1.0889686346
0.6741307691	27.7575130463	-1.0908643007
0.6741886502	27.8370475769	-1.0927417278
0.6742465275	27.9275817871	-1.0948591232
0.6743043824	28.0140075684	-1.0968610048
0.6743622485	28.0911273956	-1.0986315012
0.6744201373	28.1554622650	-1.1000971794
0.6744779922	28.2080345154	-1.1012872458
0.6745358698	28.3234424591	-1.1038759947
0.6745937475	28.2307701111	-1.1017998457
0.6746516018	28.0276794434	-1.0971759558
0.6747094797	27.9541244507	-1.0954759121
0.6747673573	28.0935993195	-1.0986880064
0.6748252119	28.2889804840	-1.1031063795
0.6748830894	28.4475746155	-1.1066243649
0.6749409671	28.5757675171	-1.1094238758
0.6749988445	28.6926536560	-1.1119426489
0.6750567265	28.8498115540	-1.1152790785
0.6751145808	28.9470806122	-1.1173156500
0.6751724357	29.0493125916	-1.1194330454
0.6752303130	29.1480503082	-1.1214557886
0.6752881909	29.2593135834	-1.1237092018
0.6753460455	29.3291358948	-1.1251094341
0.6754039367	29.4109840393	-1.1267373562
0.6754617916	29.4770793915	-1.1280413866
0.6755196573	29.5452232361	-1.1293760538
0.6755775350	29.5756034851	-1.1299679279
0.6756354129	29.6321067810	-1.1310634613
0.6756932675	29.6917381287	-1.1322124004
0.6757511448	29.7442283630	-1.1332175732
0.6758090228	29.8107051849	-1.1344823837
0.6758668772	29.8722209930	-1.1356446743
0.6759247550	29.9329471588	-1.1367844343
0.6759826327	29.9755840302	-1.1375801563
0.6760405102	30.0375156403	-1.1387294531
0.6760983648	30.0831394196	-1.1395711899
0.6761562458	30.1028537750	-1.1399335861
0.6762141007	30.1404113770	-1.1406219006
0.6762719782	30.2128257751	-1.1419410706
